lat,lng,count
12.9,77.54,111
12.9,77.58,111
13.09,77.54,111
12.32,76.67,111
12.97,77.76,111
15.81,74.49,110
12.95,77.71,110
12.95,77.49,110
12.99,77.47,110
13.33,75.78,110
13.71,75.82,110
14.44,75.92,110
12.88,74.83,110
12.89,74.86,110
12.85,74.85,110
12.34,76.65,110
13.01,77.64,109
13.0,77.35,109
13.1,77.6,109
13.26,77.55,109
13.07,77.8,109
15.73,75.97,109
17.58,76.98,109
13.14,74.77,109
12.09,76.33,109
12.91,77.58,108
12.96,77.68,108
12.91,77.65,108
12.83,77.66,108
12.94,78.27,108
15.77,76.75,108
13.33,74.75,108
13.75,76.9,108
12.9,77.72,107
12.78,77.76,107
13.36,74.78,107
15.44,75.65,107
15.45,75.65,107
15.47,75.0,107
15.61,76.01,107
16.26,74.49,106
12.52,77.36,106
13.04,77.54,106
14.02,75.93,106
17.37,76.84,106
12.19,75.8,106
12.9,77.62,105
12.52,77.35,105
12.86,77.78,105
14.0,76.0,105
15.21,75.88,105
15.44,75.02,105
12.92,74.86,105
14.06,75.39,105
13.35,74.7,105
16.8,75.73,105
12.57,77.42,104
13.26,76.46,104
13.0,77.66,104
12.82,77.68,104
15.39,75.1,104
17.32,76.86,104
16.33,75.29,103
12.26,76.64,103
12.92,77.51,103
12.9,77.65,103
12.97,77.67,103
13.08,77.37,103
15.32,75.14,103
17.34,76.86,103
13.0,77.94,103
12.34,76.63,103
12.21,76.9,103
13.31,77.14,103
14.97,75.04,103
13.07,77.62,102
12.99,77.65,102
12.92,77.52,102
12.92,77.66,102
13.04,77.69,102
13.05,77.46,102
13.03,77.48,102
14.04,76.18,102
15.39,75.08,102
14.99,75.22,102
13.83,77.21,102
14.28,74.45,102
12.89,77.62,101
14.45,75.91,101
12.89,77.72,101
13.0,76.11,101
11.94,76.67,101
13.78,77.79,101
14.52,75.81,101
12.97,77.71,100
12.95,77.5,100
12.84,77.67,100
12.99,77.78,100
17.91,77.51,100
13.43,77.73,100
12.91,76.39,100
12.33,76.87,100
14.61,74.83,100
15.81,74.86,99
13.05,77.52,99
12.91,77.52,99
12.53,77.36,99
12.91,77.62,99
13.04,77.48,99
12.88,77.76,99
11.93,76.94,99
14.49,75.92,99
12.31,76.7,99
12.68,77.47,99
15.83,74.51,98
12.94,77.48,98
13.0,77.76,98
13.95,75.56,98
16.48,76.31,98
13.01,77.63,97
13.27,77.72,97
14.52,76.34,97
15.37,75.13,97
16.02,76.07,97
13.32,77.14,97
15.89,74.51,96
12.89,77.55,96
12.92,77.72,96
13.08,77.43,96
13.01,76.1,96
15.43,75.43,96
15.37,75.11,96
17.31,76.83,96
17.36,76.81,96
12.18,75.93,96
15.43,76.54,96
16.84,75.71,96
16.26,74.48,95
16.43,74.58,95
12.58,77.31,95
12.77,77.65,95
13.19,77.28,95
13.94,76.62,95
15.36,75.11,95
16.0,76.0,95
13.09,74.79,95
12.33,76.6,95
16.16,76.52,95
13.38,77.11,95
13.34,77.05,95
15.64,74.51,94
15.95,75.29,94
13.07,77.64,94
12.93,77.74,94
12.92,77.5,94
12.98,77.82,94
13.6,77.51,94
13.13,78.13,94
15.38,75.11,94
12.6,75.85,94
13.99,75.69,94
15.88,74.53,93
12.9,77.52,93
12.98,77.77,93
13.08,77.77,93
17.86,76.95,93
15.32,75.13,93
17.32,76.85,93
12.28,76.65,93
13.94,75.55,93
13.23,74.75,93
12.84,77.65,92
12.29,76.64,92
13.07,77.44,92
13.6,75.97,92
12.66,76.49,92
15.45,75.0,92
12.91,74.84,92
16.2,75.06,91
12.88,77.55,91
12.93,77.51,91
12.89,77.63,91
12.99,77.69,91
12.96,77.73,91
13.17,77.56,91
14.57,75.37,91
16.81,75.73,91
12.34,76.61,91
13.32,77.11,91
14.43,75.92,90
14.78,75.39,90
15.33,75.15,90
12.92,74.83,90
14.27,75.36,90
17.31,75.67,90
16.17,74.83,89
13.09,77.56,89
12.72,77.7,89
13.62,76.42,89
13.28,74.75,89
13.63,74.69,89
12.51,77.35,88
12.89,77.74,88
13.08,77.81,88
12.81,77.67,88
18.05,77.21,88
13.4,77.87,88
14.17,75.02,88
13.93,75.59,88
12.98,77.5,87
15.64,74.5,87
16.35,74.9,87
13.06,77.72,87
13.06,77.77,87
12.65,77.2,87
13.93,75.55,87
16.51,75.29,86
15.87,74.48,86
15.93,74.53,86
13.04,77.63,86
12.27,76.64,86
15.35,75.16,86
13.07,74.99,86
12.33,76.88,86
15.88,74.54,85
16.23,74.6,85
13.06,77.59,85
12.97,77.69,85
13.05,77.53,85
12.53,77.35,85
12.85,77.59,85
12.82,77.66,85
12.37,77.26,85
13.0,77.31,85
13.96,76.61,85
15.43,74.74,85
15.7,75.74,85
14.62,75.64,85
17.2,76.36,85
13.32,77.15,85
12.96,74.81,85
12.11,76.67,85
13.74,76.91,85
16.75,77.14,85
16.49,74.77,84
16.39,74.38,84
12.29,76.62,84
13.06,77.53,84
13.07,77.46,84
14.47,75.9,84
12.53,76.91,84
12.98,76.74,84
14.16,75.03,84
15.31,76.34,83
13.12,77.62,83
13.01,77.65,83
12.88,77.62,83
13.22,77.61,83
13.05,77.76,83
12.86,77.58,83
13.14,77.57,83
12.87,77.77,83
13.28,77.55,83
13.22,77.25,83
13.14,77.35,83
15.46,74.99,83
15.96,76.75,83
13.85,75.7,83
13.32,77.13,83
13.25,76.48,83
13.62,74.69,83
15.26,74.62,83
16.57,75.97,83
16.92,76.24,83
16.16,75.66,82
15.82,74.49,82
16.63,74.86,82
13.01,77.66,82
12.9,77.47,82
13.4,77.86,82
12.89,75.04,82
13.32,77.12,82
15.45,74.98,82
14.63,74.84,81
16.34,74.96,81
12.12,77.12,81
13.29,77.53,81
15.44,75.0,81
14.17,75.03,81
13.33,74.74,81
14.03,74.53,81
15.6,74.79,80
13.12,77.63,80
12.93,77.52,80
12.9,77.66,80
12.85,77.58,80
12.84,77.59,80
13.33,75.79,80
14.72,76.75,80
14.46,75.9,80
17.06,77.4,80
17.18,76.79,80
12.33,76.64,80
12.83,74.86,80
13.36,74.7,80
12.3,76.63,80
12.34,76.6,80
15.92,75.68,79
16.73,75.07,79
12.9,77.68,79
12.99,77.67,79
12.98,77.68,79
12.58,77.32,79
12.32,76.64,79
13.01,77.35,79
14.22,76.4,79
12.84,75.25,79
15.44,75.63,79
15.4,75.08,79
12.38,77.06,79
12.43,76.38,79
16.18,75.7,78
13.19,77.8,78
13.2,77.27,78
15.35,76.25,78
12.87,74.87,78
14.27,75.35,78
15.89,74.93,77
12.0,77.0,77
12.88,77.65,77
13.0,77.45,77
17.88,76.96,77
14.09,75.88,77
14.44,75.93,77
12.79,74.86,77
12.15,75.94,77
13.31,77.1,77
14.0,74.55,77
12.9,74.86,76
12.92,77.53,76
12.87,77.6,76
13.05,77.48,76
12.94,77.73,76
12.81,77.59,76
12.85,74.83,76
12.96,78.28,76
17.36,76.86,76
12.85,74.86,76
13.84,75.69,76
16.83,75.69,76
12.81,74.86,76
13.61,74.69,76
14.82,74.13,76
15.14,76.93,75
15.85,75.12,75
13.13,77.67,75
13.02,77.66,75
12.93,77.5,75
12.99,77.68,75
12.9,77.51,75
15.74,75.97,75
14.83,74.13,75
14.43,74.42,75
12.85,74.84,75
17.33,76.8,75
12.2,75.81,75
15.42,76.53,75
12.9,74.85,75
13.29,77.09,75
14.28,77.17,75
13.44,74.74,75
16.84,75.7,75
16.7,74.9,74
13.07,77.5,74
13.12,77.12,74
12.81,77.69,74
13.34,75.77,74
14.23,76.4,74
14.56,75.61,74
16.82,75.74,74
15.57,76.42,74
16.86,75.71,74
16.15,75.66,73
16.39,75.11,73
13.09,77.63,73
13.0,77.34,73
13.1,77.57,73
13.02,77.57,73
13.29,77.8,73
13.7,75.82,73
14.45,75.9,73
14.44,75.9,73
14.55,75.61,73
17.36,76.84,73
13.14,78.13,73
13.39,77.12,73
15.84,74.53,72
16.0,74.0,72
13.09,77.5,72
13.12,77.61,72
12.66,77.21,72
13.23,77.7,72
12.91,77.53,72
12.97,77.4,72
13.17,77.57,72
13.72,76.0,72
12.41,76.69,72
12.93,74.86,72
12.3,76.69,72
13.35,74.76,72
16.47,76.31,72
15.14,76.92,71
15.8,74.48,71
15.82,74.85,71
12.84,77.64,71
13.18,77.3,71
17.89,77.51,71
14.61,75.64,71
17.29,76.82,71
12.87,74.89,71
12.19,75.81,71
12.91,74.83,71
12.34,76.58,71
15.27,76.39,71
13.36,77.1,71
12.96,77.49,70
12.89,77.6,70
12.99,77.66,70
12.86,77.77,70
13.0,77.75,70
13.0,77.02,70
13.08,77.54,70
12.34,76.67,70
12.77,77.77,70
13.07,77.36,70
12.77,77.7,70
17.73,77.37,70
13.55,76.02,70
15.45,75.66,70
15.73,75.96,70
14.8,75.4,70
13.01,76.11,70
15.38,75.14,70
13.05,74.8,70
12.12,76.67,70
14.0,74.54,70
15.88,74.49,69
13.09,77.65,69
13.09,77.49,69
14.13,75.2,69
15.72,75.38,69
12.35,76.65,69
12.43,75.74,69
17.09,76.22,69
15.83,74.53,68
13.21,77.26,68
13.49,77.66,68
12.89,77.65,68
12.91,77.69,68
13.07,77.74,68
12.97,77.72,68
12.99,77.72,68
14.24,75.65,68
17.38,76.86,68
12.4,76.57,68
12.29,76.71,68
12.36,76.66,68
13.03,77.08,68
12.95,77.23,68
13.86,75.71,68
13.72,77.39,68
13.35,74.74,68
16.82,76.07,68
16.48,75.13,67
16.03,74.53,67
16.62,74.86,67
13.06,77.6,67
13.06,77.62,67
13.2,77.66,67
13.14,77.62,67
12.92,77.73,67
12.72,77.28,67
12.92,77.74,67
13.07,77.53,67
13.05,77.58,67
12.7,77.7,67
13.05,77.47,67
18.25,77.42,67
14.44,75.91,67
15.42,75.43,67
15.39,75.09,67
12.95,74.81,67
12.34,76.62,67
12.35,76.67,67
12.56,76.27,67
12.83,77.03,67
13.37,77.11,67
16.85,75.72,67
16.36,75.94,67
12.88,77.54,66
12.99,77.7,66
12.53,77.37,66
13.22,77.67,66
12.94,77.51,66
12.99,77.71,66
14.45,75.94,66
12.97,77.73,66
12.79,77.64,66
13.07,77.48,66
14.42,75.94,66
15.56,75.35,66
17.37,76.85,66
12.73,75.89,66
12.81,74.89,66
15.96,76.65,66
15.91,74.52,65
13.07,77.59,65
13.01,77.76,65
12.9,77.71,65
12.99,77.62,65
12.15,77.15,65
13.11,77.58,65
12.83,77.59,65
13.33,75.76,65
15.39,75.72,65
12.76,76.06,65
12.91,76.38,65
17.36,76.83,65
12.35,76.6,65
14.26,75.36,65
13.3,77.16,65
13.36,74.79,65
16.49,74.78,64
12.79,77.62,64
13.02,77.67,64
13.03,77.69,64
13.4,78.05,64
13.38,77.86,64
13.0,75.0,64
14.37,76.19,64
17.31,76.81,64
17.32,76.8,64
13.84,75.7,64
15.6,76.66,64
12.86,74.87,64
12.86,74.86,64
12.91,74.87,64
12.8,74.9,64
13.42,76.62,64
16.87,77.39,64
12.93,77.69,63
12.31,76.68,63
12.59,77.29,63
13.17,77.63,63
13.05,77.72,63
13.03,77.71,63
13.15,77.57,63
12.75,77.73,63
13.1,77.38,63
13.3,77.53,63
12.76,75.1,63
14.5,75.81,63
15.7,75.73,63
14.46,75.39,63
12.87,74.88,63
12.54,76.89,63
13.59,74.7,63
16.13,74.52,62
13.06,77.5,62
12.91,77.51,62
12.46,77.46,62
13.01,77.31,62
12.66,77.22,62
13.24,77.93,62
15.18,74.97,62
15.44,76.54,62
15.42,76.54,62
12.52,76.9,62
12.32,76.61,62
13.52,77.24,62
13.83,74.63,62
15.25,74.63,62
14.63,74.85,62
15.86,74.48,61
12.94,77.7,61
12.98,77.67,61
12.1,77.57,61
13.0,77.47,61
12.75,77.79,61
14.24,76.4,61
15.42,75.63,61
15.13,75.47,61
13.31,76.26,61
13.02,76.12,61
15.39,75.11,61
17.31,76.85,61
12.49,75.95,61
12.45,75.97,61
12.9,74.83,61
13.15,77.03,61
13.55,74.7,61
14.96,74.71,61
17.31,75.66,61
16.82,75.75,61
16.5,75.29,60
15.89,74.5,60
16.35,74.73,60
13.19,77.65,60
12.88,77.61,60
12.98,77.69,60
13.16,77.32,60
13.03,77.73,60
17.91,77.5,60
12.24,77.15,60
15.43,75.65,60
12.99,76.11,60
15.45,75.02,60
17.32,76.81,60
12.98,76.86,60
12.92,74.9,60
12.0,76.4,60
16.42,76.94,60
12.93,76.93,60
13.44,76.91,60
13.63,74.7,60
14.12,74.12,60
16.86,75.72,60
16.84,75.52,60
16.07,76.06,59
15.88,74.5,59
15.87,74.49,59
13.08,77.59,59
12.89,77.66,59
13.03,77.65,59
12.91,77.47,59
12.15,77.11,59
13.1,77.56,59
12.83,77.62,59
12.79,77.78,59
13.44,77.72,59
13.33,75.8,59
13.56,75.34,59
12.98,74.8,59
12.56,75.39,59
16.07,77.41,59
15.99,77.05,59
13.33,77.08,59
13.5,74.71,59
16.42,74.59,58
12.96,77.48,58
12.88,77.5,58
12.91,77.5,58
13.73,76.0,58
13.34,75.8,58
14.36,75.74,58
12.28,76.63,58
14.77,75.13,58
15.43,75.01,58
15.37,75.16,58
12.96,78.29,58
12.3,76.71,58
12.28,76.66,58
13.59,76.54,58
13.17,76.67,58
13.87,74.63,58
16.81,75.71,58
16.76,77.13,58
13.11,77.39,57
13.16,77.63,57
13.01,77.67,57
13.12,77.39,57
13.07,77.65,57
12.87,77.67,57
12.83,77.61,57
12.58,77.57,57
12.65,77.21,57
12.96,77.75,57
13.03,77.46,57
13.31,77.55,57
13.1,77.41,57
13.28,77.19,57
18.06,77.22,57
13.15,75.65,57
14.97,75.34,57
12.99,75.28,57
14.5,76.16,57
15.36,75.1,57
13.95,75.57,57
13.03,77.04,57
13.38,77.12,57
14.66,74.31,57
15.9,74.52,56
15.79,74.48,56
16.78,75.25,56
16.24,75.18,56
15.72,74.7,56
12.87,77.57,56
12.88,77.64,56
12.84,77.61,56
13.1,77.62,56
12.26,76.63,56
12.92,77.47,56
12.82,77.7,56
13.07,77.32,56
14.0,75.0,56
14.79,75.41,56
17.06,76.61,56
17.31,76.78,56
12.73,77.29,56
13.3,77.17,56
15.39,76.31,56
12.3,76.6,56
16.37,77.35,56
13.83,75.69,56
15.42,74.49,56
14.62,74.85,56
17.18,75.96,56
16.79,75.72,56
16.63,74.85,55
13.05,77.6,55
12.95,77.48,55
13.07,77.49,55
13.04,77.64,55
13.09,77.59,55
13.14,77.63,55
13.06,77.35,55
12.9,77.53,55
13.1,77.48,55
13.18,77.29,55
17.7,77.22,55
12.77,75.2,55
15.35,75.08,55
13.0,78.18,55
12.97,78.25,55
12.45,75.83,55
15.87,76.05,55
13.35,74.77,55
12.3,76.68,55
16.16,76.53,55
13.31,77.12,55
13.29,77.18,55
13.47,74.71,55
16.85,75.7,55
16.57,75.98,55
17.0,75.99,55
16.65,76.53,55
16.16,75.67,54
16.19,75.71,54
16.06,76.06,54
16.51,75.28,54
16.44,74.97,54
15.87,74.47,54
16.03,74.69,54
12.52,77.39,54
12.86,77.65,54
