review_month,section,category,subtype,row_type,ytd,same_month_prev_year,prev_month,current_month,yoy_change,yoy_pct,mom_change,mom_pct,spike_score,trend
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Place of worship,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Public Place,subtype,11,0,1,1,1,,0,0.0,0.0,rising
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Railway Property,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Vital Installation,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Warehouse (Godown),subtype,2,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Others,subtype,114,11,9,11,0,0.0,2,22.2,0.22,rising
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",Attempt To Commit,subtype,6,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Contractor,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Domestic Servant,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Labourer,subtype,2,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Man (General),subtype,14,0,2,0,0,,-2,-100.0,-1.0,falling
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Man (SC),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Man (ST),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Manager/Executive (Other Than Public Servant),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",Member of Legislative Assembly / Council (MLA/MLC),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Member of Parliament (MP),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On other Dignitaries /Public Figures,subtype,2,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Press,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Professional,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Public Servant,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Student,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Teacher,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Women (General),subtype,3,0,2,0,0,,-2,-100.0,-1.0,falling
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Woman (SC),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Woman (ST),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Attempt to Commit,subtype,4,1,1,0,-1,-100.0,-1,-100.0,-2.0,falling
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Caste Issue,subtype,5,0,0,0,0,,0,,0.0,stable
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Communal Issue,subtype,65,4,4,4,0,0.0,0,0.0,0.0,stable
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Linguistic Issue,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Political Issue,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Racial/Ethnic Issue,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Regional Issue,subtype,17,2,0,0,-2,-100.0,0,,-1.0,falling
2025-12,IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Religious Issue,subtype,91,12,2,5,-7,-58.3,3,150.0,0.92,falling
