Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
115,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Procuration of Minor Girls - For other Purpose,10,0,1,2,,,,,,
116,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Espionage,0,0,0,0,,,,,,
117,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Intent to Steal From Child,0,0,0,0,,,,,,
118,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Murder (Homicide),0,0,0,0,,,,,,
119,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Obtain Signature Forcibly,0,0,0,0,,,,,,
120,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Recovering Loan,1,0,0,0,,,,,,
121,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Settling any Disputes,3,0,0,2,,,,,,
122,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Unnatural Lust / Illicit Intercourse,0,0,0,0,,,,,,
123,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Wrongful Confinement,7,0,0,3,,,,,,
124,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Exporting,0,0,0,0,,,,,,
125,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",From Lawful Guardianship,2,1,1,0,,,,,,
126,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Camel Racing Etc.,0,0,0,0,,,,,,
127,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",To Compel For Marriage,4,1,1,0,,,,,,
128,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Slavery,0,0,0,0,,,,,,
129,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Stealing From its Person,0,0,0,0,,,,,,
130,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Others,216,40,39,40,,,,,,
131,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At ATM,0,0,0,0,,,,,,
132,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At Residential Premises,17,3,1,1,,,,,,
133,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",On Highways,7,1,0,1,,,,,,
134,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",In Trains,2,0,0,1,,,,,,
135,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At Banks,1,0,0,0,,,,,,
136,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At Commercial Places / Establishments,6,2,1,1,,,,,,
137,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",On Other Roads,19,3,4,2,,,,,,
138,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",In Other Places,13,2,2,1,,,,,,
139,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",River & Sea,0,0,0,0,,,,,,
140,A - IPC/BNS Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",Preparation And Assembly for Dacoity,34,18,7,3,,,,,,
141,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At ATM,0,0,0,0,,,,,,
142,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At Residential Premises,51,14,7,6,,,,,,
143,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",On Highways,35,5,2,10,,,,,,
144,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",In Trains,0,1,0,0,,,,,,
145,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At Banks,0,0,0,0,,,,,,
146,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At Commercial Places / Establishments,18,10,3,3,,,,,,
147,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",In Other Places,150,59,32,21,,,,,,
148,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",Chain Snatching,251,63,39,52,,,,,,
149,A - IPC/BNS Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",Attempt to Commit,19,2,2,5,,,,,,
150,A - IPC/BNS Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Residential Premises,1194,244,213,196,,,,,,
151,A - IPC/BNS Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",On Highways,1,0,0,0,,,,,,
152,A - IPC/BNS Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",In Trains,0,0,0,0,,,,,,
153,A - IPC/BNS Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Banks,13,3,1,5,,,,,,
154,A - IPC/BNS Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Commercial Places / Establishments,295,82,56,45,,,,,,
155,A - IPC/BNS Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",In Other Places,239,52,30,41,,,,,,
156,A - IPC/BNS Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",Temple Theft,144,34,34,28,,,,,,
157,A - IPC/BNS Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Residential Premises,478,92,79,78,,,,,,
158,A - IPC/BNS Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",On Highways,0,0,0,0,,,,,,
159,A - IPC/BNS Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",In Trains,0,0,0,0,,,,,,
160,A - IPC/BNS Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Banks,0,0,0,0,,,,,,
161,A - IPC/BNS Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Commercial Places / Establishments,15,3,4,2,,,,,,
162,A - IPC/BNS Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",In Other Places,18,9,4,5,,,,,,
163,A - IPC/BNS Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",Temple Theft,5,2,0,2,,,,,,
164,A - IPC/BNS Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Attempt to commit,28,6,7,5,,,,,,
