SL NO,HEADS CRIME,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
595,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,90,43,208,90
596,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,4,1,0,4
597,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",1,1,2,1
598,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
599,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,14,17,12,14
600,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,1,8,2,1
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,15,15,27,15
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,0,0,0
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,661,402,1499,661
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,2,12,8,2
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,0,2,0,0
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,0,0,0,0
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,0,1
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,2,3,3,2
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,0,6,2,0
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,0,0,0,0
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,0,0,1
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,0,0,0,0
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,1,0,0,1
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,7,7,1,7
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,0,0,0,0
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,0,0,0
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,11,7,8,11
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,0,0
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,0,0,0,0
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,1,2,2,1
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,8,2,10,8
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,0,2,1
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,5,15,5,5
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,0,0,0
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,2,0,1,2
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,7,6,13,7
647,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Information Technology Act 2000, 2009",12,1821,24,12
648,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),CSAM (Child Pornography). Cyber Tip Line,,,,
649,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Online Money Transfer,105,6,90,105
650,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Credit Card Fraud,86,7,89,86
651,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Loan App,22,6,19,22
652,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",,,,
653,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Gifts, iPhone & Lottery Fraud",7,1,23,7
654,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Deep Fake/Deep Nudes,3,0,1,3
655,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Investment Fraud (Part Time Job, Task, Review)",273,16,306,273
656,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Card Skimming,,,,
657,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Job Fraud,31,12,67,31
658,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Business Fraud,18,0,17,18
659,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Hacking of Accounts & Ids,13,11,15,13
660,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Phishing (Taking Password & Information),6,0,6,6
661,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Email Spoofing / Fraud,3,0,2,3
662,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),SIM card Swapping / SIM Jacking / SIM Cloning,0,0,2,0
663,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),29,5,28,29
664,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Crypto Currency, Bitcoin, etc.",8,0,11,8
665,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Remote Access Fraud  (Any Desk/ Team Viewer),0,0,1,0
666,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),OLX Fraud,17,3,18,17
667,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Data Theft,8,0,7,8
668,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fedex,11,1,34,11
669,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Matrimony Fraud,11,0,6,11
670,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"OTP Frauds (KYC Update, Apk Link)",73,5,99,73
671,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Sextortion and Revenge Porn,8,0,8,8
672,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Advertising Frauds,6,0,8,6
673,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Investment Fraud (Trading & Share Trading),380,4,274,380
674,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fake Customer Care,36,0,37,36
675,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),ATM Fraud,5,0,0,5
676,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Digital Arrest,64,0,133,64
677,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),AEPS (Aadhaar),0,1,1,0
678,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Others ,166,49,194,166
679,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
680,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,1,0,0,1
681,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,0,0,0,0
682,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,0,1,0,0
683,B - SPECIAL & LOCAL LAWS,POCSO,Rape,216,277,226,216
684,B - SPECIAL & LOCAL LAWS,POCSO,Others ,87,70,93,87
685,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,1,0,0
686,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,2,2,1,2
687,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,63,50,57,63
688,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,457,533,423,457
689,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,7,9,7,7
690,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,33,6,20,33
691,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0
692,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,0,0,1,0
693,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,34,28,32,34
694,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0
695,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,1,7,1,1
696,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,101,51,61,101
697,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0
698,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,11,5,6,11
699,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,252,224,212,252
700,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,15,12,10,15
701,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,30,32,19,30
702,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0
703,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0
704,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,6,8,8,6
705,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,4,4,4,4
706,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,397,619,530,397
707,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,1,0,0,1
708,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
709,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,5,5,9,5
710,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,351,324,308,351
711,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,3,0,1,3
712,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
713,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0
714,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
715,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,0,0,0,0
716,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
717,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0
718,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,3,1,2,3
719,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
720,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,11,8,10,11
721,D.CRIME AGAINST CHILDREN,POCSO Act,NA,304,348,319,304
722,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,0,3,1,0
723,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,12,9,13,12
724,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,10,13,3,10
725,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,0,0,0,0
726,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,6,11,11,6
727,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,8,6,10,8
728,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,4,4,1,4
729,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,0,0,2,0
730,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,154,179,148,154
